id,sex,cross_direction
1,m,(BxM)x(BxM)
2,m,(BxM)x(BxM)
3,m,(BxM)x(BxM)
4,m,(BxM)x(BxM)
5,f,(BxM)x(BxM)
6,f,(BxM)x(BxM)
7,f,(BxM)x(BxM)
8,f,(BxM)x(BxM)
9,m,(BxM)x(BxM)
10,f,(BxM)x(BxM)
11,m,(BxM)x(BxM)
12,m,(BxM)x(BxM)
13,m,(BxM)x(BxM)
14,m,(BxM)x(BxM)
15,f,(BxM)x(BxM)
16,f,(BxM)x(BxM)
17,f,(BxM)x(BxM)
18,m,(BxM)x(BxM)
19,f,(BxM)x(BxM)
20,f,(BxM)x(BxM)
21,m,(BxM)x(BxM)
22,m,(BxM)x(BxM)
23,m,(BxM)x(BxM)
24,m,(BxM)x(BxM)
25,m,(BxM)x(BxM)
26,f,(BxM)x(BxM)
27,f,(MxM)x(MxM)
28,f,(BxM)x(BxM)
29,f,(MxM)x(MxM)
30,f,(BxM)x(BxM)
31,m,(BxM)x(BxM)
32,m,(BxM)x(BxM)
33,f,(BxM)x(BxM)
34,f,(BxM)x(BxM)
35,f,(BxM)x(BxM)
36,f,(BxM)x(BxM)
37,f,(BxM)x(BxM)
38,f,(BxM)x(BxM)
39,f,(BxM)x(BxM)
40,f,(MxM)x(MxM)
41,f,(BxM)x(BxM)
42,f,(MxM)x(MxM)
43,f,(BxM)x(BxM)
44,m,(BxM)x(BxM)
45,m,(BxM)x(BxM)
46,m,(BxM)x(BxM)
47,m,(BxM)x(BxM)
48,m,(BxM)x(BxM)
49,m,(BxM)x(BxM)
50,f,(BxM)x(BxM)
51,m,(BxM)x(BxM)
52,m,(BxM)x(BxM)
53,m,(BxM)x(BxM)
54,m,(BxM)x(BxM)
55,f,(BxM)x(BxM)
56,m,(BxM)x(BxM)
57,m,(BxM)x(BxM)
58,m,(BxM)x(BxM)
59,m,(BxM)x(BxM)
60,f,(BxM)x(BxM)
61,f,(BxM)x(BxM)
62,f,(MxM)x(MxM)
63,f,(BxM)x(BxM)
64,f,(MxM)x(MxM)
65,f,(MxM)x(MxM)
66,f,(MxM)x(MxM)
67,m,(BxM)x(BxM)
68,m,(BxM)x(BxM)
69,m,(BxM)x(BxM)
70,m,(BxM)x(BxM)
71,m,(BxM)x(BxM)
72,m,(BxM)x(BxM)
73,m,(BxM)x(BxM)
74,m,(BxM)x(BxM)
75,m,(BxM)x(BxM)
76,f,(BxM)x(BxM)
77,m,(BxM)x(BxM)
78,f,(BxM)x(BxM)
79,f,(BxM)x(BxM)
80,f,(BxM)x(BxM)
81,f,(BxM)x(BxM)
82,f,(BxM)x(BxM)
83,m,(BxM)x(BxM)
84,m,(BxM)x(BxM)
86,f,(BxM)x(BxM)
87,f,(BxM)x(BxM)
88,f,(BxM)x(BxM)
89,f,(BxM)x(BxM)
90,m,(BxM)x(BxM)
91,m,(BxM)x(BxM)
92,f,(BxM)x(BxM)
93,f,(BxM)x(BxM)
94,f,(BxM)x(BxM)
95,f,(BxM)x(BxM)
96,f,(BxM)x(BxM)
97,f,(BxM)x(BxM)
98,f,(BxM)x(BxM)
99,f,(BxM)x(BxM)
100,f,(BxM)x(BxM)
102,m,(BxM)x(BxM)
103,m,(BxM)x(BxM)
104,f,(BxM)x(BxM)
105,f,(BxM)x(BxM)
106,f,(BxM)x(BxM)
MOLF_190,m,(MxM)x(MxM)
MOLF_126,m,(MxM)x(MxM)
MOLF_102,m,(MxM)x(MxM)
MOLF_191.1,f,(MxM)x(MxM)
MOLF_191.2,f,(MxM)x(MxM)
B6_1,f,(BxM)x(BxM)
B6_2,f,(BxM)x(BxM)
B6_3,f,(BxM)x(BxM)
B6_4,f,(BxM)x(BxM)
B6_5,f,(BxM)x(BxM)
F1_21,m,(BxM)x(BxM)
F1_22,m,(BxM)x(BxM)
F1_23,m,(BxM)x(BxM)
F1_24,m,(BxM)x(BxM)
F1_25,m,(BxM)x(BxM)
