id,sex,cross_direction,strain,category
1,m,(BxM)x(BxM),F2,hypo
2,m,(BxM)x(BxM),F2,hypo
3,m,(BxM)x(BxM),F2,stable
4,m,(BxM)x(BxM),F2,hyper_hypo
5,f,(BxM)x(BxM),F2,hypo
6,f,(BxM)x(BxM),F2,hyper_hypo
7,f,(BxM)x(BxM),F2,stable
8,f,(BxM)x(BxM),F2,hyper
9,m,(BxM)x(BxM),F2,hyper_hypo
10,f,(BxM)x(BxM),F2,stable
11,m,(BxM)x(BxM),F2,hyper_hypo
12,m,(BxM)x(BxM),F2,hypo
13,m,(BxM)x(BxM),F2,hypo
14,m,(BxM)x(BxM),F2,stable
15,f,(BxM)x(BxM),F2,hypo
16,f,(BxM)x(BxM),F2,hyper
17,f,(BxM)x(BxM),F2,hyper
18,m,(BxM)x(BxM),F2,stable
19,f,(BxM)x(BxM),F2,hyper_hypo
20,f,(BxM)x(BxM),F2,stable
21,m,(BxM)x(BxM),F2,hyper_hypo
22,m,(BxM)x(BxM),F2,stable
23,m,(BxM)x(BxM),F2,hypo
24,m,(BxM)x(BxM),F2,hyper_hypo
25,m,(BxM)x(BxM),F2,hyper_hypo
26,f,(BxM)x(BxM),F2,hypo
27,f,(MxM)x(MxM),F2,hyper
28,f,(BxM)x(BxM),F2,stable
29,f,(MxM)x(MxM),F2,hyper_hypo
30,f,(BxM)x(BxM),F2,hypo
31,m,(BxM)x(BxM),F2,stable
32,m,(BxM)x(BxM),F2,hypo
33,f,(BxM)x(BxM),F2,hyper_hypo
34,f,(BxM)x(BxM),F2,hypo
35,f,(BxM)x(BxM),F2,hypo
36,f,(BxM)x(BxM),F2,hypo
37,f,(BxM)x(BxM),F2,hypo
38,f,(BxM)x(BxM),F2,hyper_hypo
39,f,(BxM)x(BxM),F2,hyper
40,f,(MxM)x(MxM),F2,hyper_hypo
41,f,(BxM)x(BxM),F2,hyper_hypo
42,f,(MxM)x(MxM),F2,hyper
43,f,(BxM)x(BxM),F2,hypo
44,m,(BxM)x(BxM),F2,hyper
45,m,(BxM)x(BxM),F2,hypo
46,m,(BxM)x(BxM),F2,stable
47,m,(BxM)x(BxM),F2,hypo
48,m,(BxM)x(BxM),F2,hyper_hypo
49,m,(BxM)x(BxM),F2,stable
50,f,(BxM)x(BxM),F2,hyper
51,m,(BxM)x(BxM),F2,hyper_hypo
52,m,(BxM)x(BxM),F2,stable
53,m,(BxM)x(BxM),F2,hyper
54,m,(BxM)x(BxM),F2,stable
55,f,(BxM)x(BxM),F2,hypo
56,m,(BxM)x(BxM),F2,hypo
57,m,(BxM)x(BxM),F2,hyper
58,m,(BxM)x(BxM),F2,hypo
59,m,(BxM)x(BxM),F2,hypo
60,f,(BxM)x(BxM),F2,hyper
61,f,(BxM)x(BxM),F2,hyper_hypo
62,f,(MxM)x(MxM),F2,hyper_hypo
63,f,(BxM)x(BxM),F2,hypo
64,f,(MxM)x(MxM),F2,hyper
65,f,(MxM)x(MxM),F2,hyper_hypo
66,f,(MxM)x(MxM),F2,hyper_hypo
67,m,(BxM)x(BxM),F2,hyper
68,m,(BxM)x(BxM),F2,hyper
69,m,(BxM)x(BxM),F2,hypo
70,m,(BxM)x(BxM),F2,stable
71,m,(BxM)x(BxM),F2,hypo
72,m,(BxM)x(BxM),F2,stable
73,m,(BxM)x(BxM),F2,hyper_hypo
74,m,(BxM)x(BxM),F2,stable
75,m,(BxM)x(BxM),F2,hypo
76,f,(BxM)x(BxM),F2,hyper_hypo
77,m,(BxM)x(BxM),F2,stable
78,f,(BxM)x(BxM),F2,hyper
79,f,(BxM)x(BxM),F2,hyper_hypo
80,f,(BxM)x(BxM),F2,hyper_hypo
81,f,(BxM)x(BxM),F2,hypo
82,f,(BxM)x(BxM),F2,hypo
83,m,(BxM)x(BxM),F2,stable
84,m,(BxM)x(BxM),F2,stable
86,f,(BxM)x(BxM),F2,hyper
87,f,(BxM)x(BxM),F2,hyper_hypo
88,f,(BxM)x(BxM),F2,hypo
89,f,(BxM)x(BxM),F2,hypo
90,m,(BxM)x(BxM),F2,hyper
91,m,(BxM)x(BxM),F2,hyper_hypo
92,f,(BxM)x(BxM),F2,stable
93,f,(BxM)x(BxM),F2,stable
94,f,(BxM)x(BxM),F2,hypo
95,f,(BxM)x(BxM),F2,hypo
96,f,(BxM)x(BxM),F2,stable
97,f,(BxM)x(BxM),F2,stable
98,f,(BxM)x(BxM),F2,hypo
99,f,(BxM)x(BxM),F2,hyper_hypo
100,f,(BxM)x(BxM),F2,stable
102,m,(BxM)x(BxM),F2,hyper
103,m,(BxM)x(BxM),F2,stable
104,f,(BxM)x(BxM),F2,hyper
105,f,(BxM)x(BxM),F2,hyper_hypo
106,f,(BxM)x(BxM),F2,stable
MOLF_190,m,(MxM)x(MxM),MOLF,NA
MOLF_126,m,(MxM)x(MxM),MOLF,NA
MOLF_102,m,(MxM)x(MxM),MOLF,NA
MOLF_191.1,f,(MxM)x(MxM),MOLF,NA
MOLF_191.2,f,(MxM)x(MxM),MOLF,NA
B6_1,f,(BxM)x(BxM),B6,NA
B6_2,f,(BxM)x(BxM),B6,NA
B6_3,f,(BxM)x(BxM),B6,NA
B6_4,f,(BxM)x(BxM),B6,NA
B6_5,f,(BxM)x(BxM),B6,NA
F1_21,m,(BxM)x(BxM),F1,NA
F1_22,m,(BxM)x(BxM),F1,NA
F1_23,m,(BxM)x(BxM),F1,NA
F1_24,m,(BxM)x(BxM),F1,NA
F1_25,m,(BxM)x(BxM),F1,NA
