id,X0h,X1h,X2h,X3h,X4h,X5h,X6h,X7h,Il.1b,Il.6,TNF,IFN.b,max_t,min_t
1,38.6,36.8,37,37.1,35.7,33.1,29.7,29.7,1.393224,52.28227,0.118004,0,38.6,29.7
2,39,37.8,38.1,38.6,37.6,36.4,35.4,32.4,1.312968,48.38156,0.053529,0.472222222,39,32.4
3,38.5,37.5,37.7,37.9,38.2,38.2,38.3,38.2,0,0,0,0,38.5,37.5
4,38.9,39,39.9,39.2,37.7,33.1,31.1,31.4,0.718987,47.62506,0.174534,0.333333333,39.9,31.1
5,39.1,38.7,38.4,37.3,34.8,32.9,31.3,29.2,2.040553,52.0695,0.135986,2.694444444,39.1,29.2
6,39,39.1,39.2,36.6,33.3,31,29.9,29.9,2.724255,58.35792,0.436222,1.583333333,39.2,29.9
7,39.1,38.9,38.2,38,37.8,38.4,38,37.9,0,0,0,0,39.1,37.8
8,39,38.4,39.3,39.7,39.5,39.4,38.9,38.5,0.387806,33.3461,0,2.833333333,39.7,38.4
9,39,37.9,39.1,39.3,38.4,37.1,37.9,35.4,0.354215,46.72671,0.121985,1.305555556,39.3,35.4
10,39,37.9,36.7,36.2,36.3,36.8,37.4,36.7,0.079688,11.21844,0,0,39,36.2
11,38.9,38.7,39,39.5,38.2,35.8,33.1,31.5,0.262193,32.21135,0.162273,0,39.5,31.5
12,38.6,38.2,37.6,37.4,36,34.1,33.5,33.2,0.345828,22.21135,0.102165,0,38.6,33.2
13,38.6,36.8,37.5,37.4,37,36.7,35.3,34.7,0.641963,46.84492,0.164311,0,38.6,34.7
14,39,38.4,38.8,38.5,38.5,38.4,38.2,37.8,0,0,0,0,39,37.8
15,39.1,37.8,38.5,37.7,35.5,32.8,31,28.9,1.654539,52.75508,0.262716,2,39.1,28.9
16,38.6,38.4,38.6,39,39.2,37.8,38.9,38.1,0.278886,29.46903,0.127972,0.75,39.2,37.8
17,39.1,39.3,40.3,39,38.2,36.5,36.3,36,0.48054,24.64634,0,0,40.3,36
18,37.1,37.2,37,37.4,37.5,37.5,37.3,37.3,0.166779064,0.278923288,0.01975,1.166666667,37.5,37
19,37.6,38.2,39.2,39.2,38.3,37.9,35.3,35.1,1.702206559,20.32789034,0.04375,0,39.2,35.1
20,38.9,38.1,38.3,38.4,38.1,37.5,37.2,37,0.404210858,1.827792106,0.02375,0.055555556,38.9,37
21,38.2,38.5,39.1,38.8,37.5,35.8,34.8,33.6,1.090232952,17.30634223,0.07175,0,39.1,33.6
